abhorre,abhor
abominat,abominates
abrogat,abrogate
accommodat,accommodates
accuratly,accurately
acuely,acutely
adjoyn,adjoin
adjoyne,adjoin
adjoyned,adjoined
admitt,admit
adulteres,adulterers
advarice,avarice
advocat,Advocate
advocats,Advocates
affectionat,affectionate
affectionatly,affectionately
affirme,affirm
affricans,Africans
agamemnon,Agamemnon
agitat,agitates
agreable,agreeable
ahab,Ahab
aime,aim
alleadge,allege
allennatly,alternately
alwayes,always
ambrose,Ambrose
amendement,amendment
antecedaneous,antecedent
antonius,Antonius
aparrell,apparel
apparell,apparel
apparelled,appareled
appeare,appear
approoving,approving
approven,approved
arabia,Arabia
ariseth,arises
aristotle,Aristotle
armes,arms
armeth,arms
arragon,Aragon
arrogat,arrogate
asiatick,Asiatic
assigne,assign
associat,associate
associats,associates
assoile,assoil
assyria,Assyria
atchievment,achievement
availe,avail
averre,aver
awakned,awakened
baillies,bailiffs
banisheth,banishes
barbarismes,barbarisms
barrs,bars
basile,Basil
batells,battles
beares,bears
beareth,bears
beeing,being
behoofe,behoove
behoved,behooved
beleeve,believe
beleeved,believed
belongeth,belongs
bendeth,bends
benefites,benefits
bestirre,bestir
bountifull,bountiful
brasen,brazen
breaketh,breaks
brutus,Brutus
caligula,Caligula
calles,calls
calumniat,calumniate
candide,candid
carcases,carcass
carefull,careful
cariage,carriage
carryed,carried
carryeth,carries
cattel,cattle
celestiall,celestial
cesar,Cesar
chiefest,chief
childs,child's
chooseth,chooses
chrisostome,Chrysostom
christ,Christ
christian,Christian
christians,Christians
civill,civil
claime,claim
clamour,clamor
clamours,clamors
clanns,clans
claudius,Claudius
cloathed,clothed
coërce,coerce
colours,colors
comand,command
comick,comic
commandest,commands
commandeth,commands
commerces,commerce
commeth,comes
communicat,communicate
comodity,commodity
comon,common
compassionat,compassionate
compear,appear
compelleth,compels
complaines,complains
compleat,complete
conceale,conceal
concerne,concern
concernes,concerns
conciliat,conciliate
conciliateth,conciliates
condemne,condemn
conferre,confer
confirme,confirm
conforme,conform
congregat,congregate
conjecturs,conjectures
contemne,condemn
contendeth,contends
continuall,continual
contraveen,contravene
conveen,convene
conveene,convene
convocat,convoke
corinthians,Corinthians
counciles,councils
councill,Council
councills,Councils
counsell,counsel
counsellours,Counselors
counsells,counsels
countrey,country
countrey's,country's
couragious,courageous
couragous,courageous
creat,create
cruell,cruel
cryed,cried
cryes,Cries
cureth,cures
custome,custom
customes,customs
dammage,damage
darkning,darkening
david,David
dayes,days
deafe,deaf
deale,deal
declareth,declares
degenerat,degenerate
demonstrat,demonstrate
demurre,demure
denominat,denominate
denounceth,denounces
denyed,denied
deprehended,apprehended
derogat,derogate
deserveth,deserves
designe,design
designes,designs
deterre,deter
deuteronomy,Deuteronomy
deviat,deviate
devoureth,devours
dionysius,Dionysus
dipt,dipped
disappoynted,disappointed
discerne,discern
discouse,discourse
disgressed,digressed
divils,devils
domestick,domestic
domesticks,domestics
domitian,Domitian
doores,doors
doubtsome,doubtful
dreame,dream
duely,duly
dyet,diet
ecclesiastick,Ecclesiastic
edward,Edward
egypt,Egypt
egyptians,Egyptians
eircumvented,circumvented
emperour,emperor
emperours,emperors
enchaunt,enchant
endeavour,endeavor
endeavoured,endeavored
endeavours,endeavors
enemes,enemies
england,England
english,English
englishes,Englishmen
enjoyne,enjoin
enjoyned,enjoined
enlargment,enlargement
entred,entered
enumerat,enumerate
